,url,Connecteur clavier,Matériaux,Webcam,Diagonale,Autofocus,Induction,Navigateur par défaut,Amovible,Compatible Flash Player,Bluetooth,Appareil photo,Boutique d'apps,Appel téléphonique,Fréquence,Capteur d'empreinte,4G,VGA,Couleur(s),USB,DisplayPort,Miracast,Puce graphique,Avec emplacement,Compatible,Verrou Kensington,Capteur de luminosité,Cellules,Haut-parleurs,Capacité W/h,Ethernet,Résistance aux chutes,Dalle,Applications,Prix public,Anti-rayures,Gyroscope,Béquille ajustable,Luminosité,Tactile,Lecteur de carte SD,Processeur,Accéléromètre,Résistance à la poussière,Système,64 bits,Béquille arrière,Infrarouge,Date,HDMI,Inclus,NFC,Qualité vidéo,Référence,GPS,Prise casque,Résolution,Angle de vue,Mémoire (RAM),Puce TPM,Capteur de proximité,Flash LED,Marque,Poids,DisplayPort Thunderbolt,Disque dur,Gamme,Airplay,Autonomie,3G,Résistance à l'eau,Interface constructeur,Wifi,PPI,Temps de charge,H x L x P,Magnétique,Widi,Optionnel,Capacité mAh,Anti-reflet,Lecteur de carte à puce (Smart Card),Firewire,Gravure,Puce graphique dédiée,Delta E,Lecteur d'empreintes digitales,Puce graphique intégrée,Connecteur pour dock,Port série,Taille,Pavé numérique,Flash Player,Contraste,Clavier rétroéclairé,Trackpoint,Système d'exploitation,Lecteur DVD,Emplacement,Cache,Dimensions,4G / LTE,Composition,Touchpad,Type de dalle,Navigateur,Wireless Display (Widi),PDT max.
product_577281f20a086d48438b456f,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p277-mg-59uj.html,,,1.3 MPx,,Non,Non,,Oui,,4.0,Non,,,2 x 2.2 à 2.7 GHz,,,Oui,Noir,2 x USB 2.02 x USB 3.0,Non,Non,,,Non,Oui,Oui,4 cel.,Haut-parleurs stéréo,37 W/h, 100 / 1000 Mbps,Non,,Acer Power ManagementAcer Recovery ManagementMcAfee Internet Security Suite,"899,00€",Non,Non,,300 cd/m²,Non, SD / SDHC,Intel Core i5-5200U,Non,Non,,Oui,,Non,28/06/2016,HDMI 1.4,ManuelChargeur secteurLicence Windows 10 Pro,Non,Non,NX.VB3EF.003,Non,Oui,1920 x 1080 pixels,-,8 Go - DDR3L(1600 MHz),Non,Non,Non,Acer,3 kg,Non,1000 Go (5400 tr/min)128 Go (SSD),Broadwell 2015 (x86),Non,5h00,Non,Non,Non,802.11 b/g/n/ac,127 ppp,-,,Non,,-,2520 mAh,Oui,Non,Non,14 nm,Nvidia GeForce 940M,-,Non,Intel HD Graphics 5500300 - 900 MHz,Non,Non,"17.3"" (43,94 cm)",Oui,Oui,-,Non,Non,Windows 7 Professionnel,Oui,Non,3 Mo,423 x 281.9 x 27.5 - 31.65 mm,Non,Plastique,Oui,LCD - TN,Internet Explorer,Non,15 W
product_577282ac0a086de7438b456b,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p277-mg-7007.html,,,1.3 MPx,,Non,Non,,Oui,,4.0,Non,,,2 x 2.4 à 3 GHz,,,Oui,Noir,2 x USB 2.02 x USB 3.0,Non,Non,,,Non,Oui,Oui,4 cel.,Haut-parleurs stéréo,37 W/h, 100 / 1000 Mbps,Non,,Acer Power ManagementAcer Recovery ManagementMcAfee Internet Security Suite,"1 099,00€",Non,Non,,300 cd/m²,Non, SD / SDHC,Intel Core i7-5500U,Non,Non,,Oui,,Non,28/06/2016,HDMI 1.4,ManuelChargeur secteurLicence Windows 10 Pro,Non,Non,NX.VB3EF.004,Non,Oui,1920 x 1080 pixels,-,8 Go - DDR3L(1600 MHz),Non,Non,Non,Acer,3 kg,Non,1000 Go (5400 tr/min)256 Go (SSD),Broadwell 2015 (x86),Non,5h00,Non,Non,Non,802.11 b/g/n/ac,127 ppp,-,,Non,,-,2520 mAh,Oui,Non,Non,14 nm,Nvidia GeForce 940M,-,Non,Intel HD Graphics 5500300 - 950 MHz,Non,Non,"17.3"" (43,94 cm)",Oui,Oui,-,Non,Non,Windows 7 Professionnel,Oui,Non,4 Mo,423 x 281.9 x 27.5 - 31.65 mm,Non,Plastique,Oui,LCD - TN,Internet Explorer,Non,15 W
product_577283720a086dea438b456c,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p236-m-31sw.html,,,1.3 MPx,,Non,Non,,Non,,4.0,Non,,,2 x 2 GHz,,,Non,Noir,1 x USB 2.01 x USB 3.0,Non,Non,,,Non,Oui,Oui,4 cel.,Haut-parleurs stéréo,-, 100 / 1000 Mbps,Non,,Acer Recovery ManagementMcAfee Internet Security,"579,00€",Non,Non,,200 cd/m²,Non, SD / SDHC,Intel Core i3-5005U,Non,Non,,Oui,,Non,28/06/2016,HDMI 1.4,ManuelChargeur secteurLicence Windows 10 Pro,Non,Non,NX.VAPEF.015,Non,Oui,1366 x 768 pixels,-,4 Go - DDR3L(1600 MHz),Non,Non,Non,Acer,1.5 kg,Non,500 Go (5400 tr/min) + 8 Go (cache SSD),Broadwell 2015 (x86),Non,5h00,Non,Non,Non,802.11 b/g/n,118 ppp,-,,Non,,-,3315 mAh,Oui,Non,Non,14 nm,Non,-,Non,Intel HD Graphics 5500300 - 900 MHz,Non,Non,"13.3"" (33,78 cm)",Non,Oui,-,Non,Non,Windows 7 Professionnel,Non,Non,3 Mo,327 x 228 x 19.65 mm,Non,Plastique,Oui,LCD - TN,Internet Explorer,Non,15 W
product_577286670a086dea438b456d,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p236-m-56bb.html,,,1.3 MPx,,Non,Non,,Non,,4.0,Non,,,2 x 2.2 à 2.7 GHz,,,Non,Noir,1 x USB 2.01 x USB 3.0,Non,Non,,,Non,Oui,Oui,4 cel.,Haut-parleurs stéréo,-, 100 / 1000 Mbps,Non,,Acer Recovery ManagementMcAfee Internet Security,"799,00€",Non,Non,,200 cd/m²,Non, SD / SDHC,Intel Core i5-5200U,Non,Non,,Oui,,Non,28/06/2016,HDMI 1.4,ManuelChargeur secteurLicence Windows 10 Pro,Non,Non,NX.VAPEF.019,Non,Oui,1366 x 768 pixels,-,8 Go - DDR3L(1600 MHz),Non,Non,Non,Acer,1.5 kg,Non,256 Go (SSD),Broadwell 2015 (x86),Non,5h00,Non,Non,Non,802.11 b/g/n,118 ppp,-,,Non,,-,3315 mAh,Oui,Non,Non,14 nm,Non,-,Non,Intel HD Graphics 5500300 - 900 MHz,Non,Non,"13.3"" (33,78 cm)",Non,Oui,-,Non,Non,Windows 7 Professionnel,Non,Non,3 Mo,327 x 228 x 19.65 mm,Non,Plastique,Oui,LCD - TN,Internet Explorer,Non,15 W
product_577287520a086de7438b456d,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p645-s-59tx.html,,,1.3 MPxAcer Crystal Eye HD,,Non,Non,,Non,,4.0,Non,,,2 x 2.2 à 2.7 GHz,,,Oui,Noir,3 x USB 3.0 / Charging,Non,Non,,,Non,Oui,Oui,3 cel.,Haut-parleurs stéréo,54 W/h, 100 / 1000 Mbps,Non,,Acer Recovery ManagementAcer ProShield ManagerAcer Office Manager (AOM)Acer Disk Anti-Shock Protection (DASP)Acer PureZone,"999,00€",Non,Non,,200 cd/m²,Non, SD / SDHC,Intel Core i5-5200U,Non,Non,,Oui,,Non,28/06/2016,HDMI 1.4,ManuelChargeur secteurLicence Windows 10 Pro,Non,Non,NX.VATEF.011,Non,Oui,1366 x 768 pixels,-,8 Go - DDR4(2133 MHz),Oui,Non,Non,Acer,1.6 kg,Non,500 Go (5400 tr/min) + 8 Go (cache SSD),Broadwell 2015 (x86),Non,8h00,Non,Non,Non,802.11 b/g/n/ac,112 ppp,-,,Non,,Acer ProDock,-,Oui,Non,Non,14 nm,Nvidia GeForce 940M,-,Oui,Intel HD Graphics 5500300 - 900 MHz,Non,Non,"14.0"" (35,56 cm)",Non,Oui,-,Oui,Non,Windows 7 Professionnel,Oui,Non,3 Mo,328.7 x 235.5 x 20.8 mm,Non,AluminiumMagnésium,Oui,LCD - TN,Internet Explorer,Non,15 W
product_57728acd0a086de7438b456e,http://www.comparez-malin.fr/informatique/pc-portable/acer-aspire-e5-573g-58dg.html,,,1.3 MPxCrystal Eye HD,,Non,Non,,Non,,4.0 (HS),Non,Windows Store,,2 x 1.7 à 2.7 GHz,,,Oui,Blanc,1 x USB 2.02 x USB 3.0 / Charging,Non,Non,,,Non,Oui,Oui,4 cel.,Haut-parleurs stéréoDolby Home Theater v4,37 W/h, 100 / 1000 Mbps,Non,,Acer ExplorerAcer Power ManagementAcer UpdateAcer Identity CardAcer Recovery ManagementAcer CloudAcer GamesAcer ScreenGraspAcer ScrapboardMcAfee Internet Security SuiteMicrosoft Office 2013 version d'évaluationSkypeMyWinLocker,"599,00€",Non,Non,,200 cd/m²,Non, SD / SDHC / SDXC / MMC,Intel Core i5-4210U,Non,Non,,Oui,,Non,28/06/2016,HDMI 1.4,ManuelChargeur secteur,Non,Non,NX.MW4EF.023,Non,Oui,1366 x 768 pixels,-,8 Go - DDR3L(1600 MHz),Non,Non,Non,Acer,2.4 kg,Non,1000 Go (5400 tr/min),Haswell 2014 (x86),Non,5h00,Non,Non,Non,802.11 b/g/n/ac,100 ppp,-,,Non,,-,2520 mAh,Oui,Non,Non,22 nm,Nvidia GeForce 920M,-,Non,Intel HD Graphics 4400200 - 1000 MHz,Non,Non,"15.6"" (39,62 cm)",Oui,Oui,381:1,Non,Non,Windows 10 Famille,Oui,Non,3 Mo,382 x 256 x 25 - 30 mm,Non,Plastique,Oui,LCD - TN,Microsoft Edge,Non,15 W
product_57728b520a086de7438b456f,http://www.comparez-malin.fr/informatique/pc-portable/acer-predator-15-g9-591-75jd.html,,,1.3 MPx,,Non,Non,,Non,,4.1,Non,Windows Store,,4 x 2.6 à 3.5 GHz,,,Non,Noir,4 x USB 3.0 / Charging1 x USB 3.1 Type-C (Gen 2) / Thunderbolt,Oui,Non,,,Non,Oui,Oui,8 cel.,Haut-parleurs stéréo (12W)Dolby Audio Premium,88 W/h, 100 / 1000 Mbps,Non,,Acer CloudAcer Predator Dust DefenderAcer Predator FrostCoreAcer CoolBoostAcer Backup ManagerAcer ePower ManagementAcer Recovery ManagementMicrosoft Office 2013McAfee Internet Security Suite Trial,"1 519,00€",Non,Non,,360 cd/m²,Non, SD / SDHC,Intel Core i7-6700HQ,Non,Non,,Oui,,Non,28/06/2016,HDMI 1.4,ManuelChargeur secteur,Non,Non,NX.Q07EF.012,Non,Oui,1920 x 1080 pixels,178°,8 Go - DDR4(2133 MHz),Non,Non,Non,Acer,3.5 kg,Non,128 Go (SSD),Skylake 2015 (x86),Non,5h30,Non,Non,Non,802.11 b/g/n/ac,141 ppp,-,,Non,,-,6000 mAh,Oui,Non,Non,14 nm,Nvidia GeForce GTX 970M,-,Non,Intel HD Graphics 530350 - 1050 MHz,Non,Non,"15.6"" (39,62 cm)",Oui,Oui,-,Oui,Non,Windows 10 Famille,Oui,Non,6 Mo,391 x 299.5 x 38.5 mm,Non,Plastique,Oui,LCD - IPS,Microsoft Edge,Non,45 W
product_57728e910a086dea438b456e,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p257-m-33xg.html,,,1.3 MPx,,Non,Non,,Non,,4.0 (LE),Non,,,2 x 2 GHz,,,Oui,Noir,1 x USB 2.02 x USB 3.0,Non,Non,,,Non,Oui,Oui,4 cel.,Haut-parleurs stéréo,37 W/h, 100 / 1000 Mbps,Non,,Acer Recovery ManagementMcAfee Internet Security,"589,00€",Non,Non,,220 cd/m²,Non, SD / SDHC,Intel Core i3-5005U,Non,Non,,Oui,,Non,28/06/2016,HDMI 1.4,ManuelChargeur secteurLicence Windows 10 Pro,Non,Non,P257-M-33XG,Non,Oui,1366 x 768 pixels,-,4 Go - DDR3L(1600 MHz),Oui,Non,Non,Acer,2.4 kg,Non,500 Go (5400 tr/min) + 8 Go (cache SSD),Broadwell 2015 (x86),Non,5h00,Non,Non,Non,802.11 b/g/n/ac,100 ppp,-,,Non,,-,2500 mAh,Oui,Non,Non,14 nm,Non,-,Non,Intel HD Graphics 5500300 - 900 MHz,Non,Non,"15.6"" (39,62 cm)",Oui,Oui,-,Non,Non,Windows 7 Professionnel,Oui,Non,3 Mo,381.6 x 256 x 24.9 - 29.2 mm,Non,Plastique,Oui,LCD - TN,Internet Explorer,Non,15 W
product_57728fe70a086d48438b4570,http://www.comparez-malin.fr/informatique/pc-portable/acer-aspire-e5-574tg-5576.html,,,1.3 MPx,,Non,Non,,Non,,4.0 (HS),Non,Windows Store,,2 x 2.3 à 2.8 GHz,,,Oui,Noir,1 x USB 2.02 x USB 3.0,Non,Non,,,Non,Oui,Oui,4 cel.,Haut-parleurs stéréoDolby Home Theater v4,37 W/h, 100 / 1000 Mbps,Non,,Acer ExplorerAcer Power ManagementAcer UpdateAcer Identity CardAcer Recovery ManagementAcer CloudAcer GamesAcer ScreenGraspAcer ScrapboardMcAfee Internet Security SuiteMicrosoft Office 2013 version d'évaluationSkypeMyWinLocker,"719,00€",Non,Non,,200 cd/m²,Non, SD / SDHC / SDXC / MMC,Intel Core i5-6200U,Non,Non,,Oui,,Non,28/06/2016,HDMI 1.4,ManuelChargeur secteur,Non,Non,E5-574TG-5576,Non,Oui,1366 x 768 pixels,-,8 Go - DDR3L(1600 MHz),Non,Non,Non,Acer,2.4 kg,Non,1000 Go (5400 tr/min),Skylake 2015 (x86),Non,5h00,Non,Non,Non,802.11 b/g/n,100 ppp,-,,Non,,-,2520 mAh,Non,Non,Non,14 nm,Nvidia GeForce 940M,-,Non,Intel HD Graphics 520300 - 1000 MHz,Non,Non,"15.6"" (39,62 cm)",Oui,Oui,381:1,Non,Non,Windows 10 Famille,Oui,Non,3 Mo,382 x 256 x 25 - 30 mm,Non,Plastique,Oui,LCD - TN,Microsoft Edge,Non,15 W
product_577290720a086de7438b4570,http://www.comparez-malin.fr/informatique/pc-portable/acer-predator-17-g9-791-79wj.html,,,1.3 MPx,,Non,Non,,Non,,4.1,Non,Windows Store,,4 x 2.6 à 3.5 GHz,,,Non,Noir,4 x USB 3.0 / Charging1 x USB 3.1 Type-C (Gen 2) / Thunderbolt,Oui,Non,,,Non,Oui,Oui,8 cel.,Haut-parleurs stéréo (12W)Dolby Audio Premium,88 W/h, 100 / 1000 Mbps,Non,,Acer CloudAcer Backup ManagerAcer ePower ManagementAcer Recovery ManagementMicrosoft Office 2013McAfee Internet Security Suite Trial,"2 119,00€",Non,Non,,360 cd/m²,Non, SD / SDHC,Intel Core i7-6700HQ,Non,Non,,Oui,,Non,28/06/2016,HDMI 1.4,ManuelChargeur secteur,Non,Non,NX.Q02EF.014,Non,Oui,1920 x 1080 pixels,178°,16 Go - DDR4(2133 MHz),Non,Non,Non,Acer,3.95 kg,Non,1000 Go (7200 tr/min)128 Go (SSD)128 Go (SSD),Skylake 2015 (x86),Non,5h30,Non,Non,Non,802.11 b/g/n/ac,127 ppp,-,,Non,,-,6000 mAh,Oui,Non,Non,14 nm,Nvidia GeForce GTX 980M,-,Non,Intel HD Graphics 530350 - 1050 MHz,Non,Non,"17.3"" (43,94 cm)",Oui,Oui,-,Oui,Non,Windows 10 Famille,Oui,Non,6 Mo,423 x 321.5 x 39.7 mm,Non,Plastique,Oui,LCD - IPS,Microsoft Edge,Non,45 W
product_577291390a086de7438b4571,http://www.comparez-malin.fr/informatique/pc-portable/acer-aspire-vn7-592g-5634.html,,,1.3 MPx,,Non,Non,,Non,,4.0 (HS),Non,Windows Store,,4 x 2.3 à 3.2 GHz,,,Non,Noir,1 x USB 2.02 x USB 3.0 / Charging1 x USB 3.1 Type-C,Non,Non,,,Non,Oui,Oui,3 cel.,Haut-parleurs x 4Dolby Home Theater v4,52.5 W/h, 100 / 1000 Mbps,Non,,Acer CloudAcer Backup ManagerAcer ePower ManagementAcer Recovery ManagementMicrosoft Office 365 (un mois d'essai)McAfee Internet Security Suite Trial,"1 099,00€",Non,Non,,300 cd/m²,Non, SD / SDHC,Intel Core i5-6300HQ,Non,Non,,Oui,,Non,28/06/2016,HDMI 1.4,ManuelChargeur secteur,Non,Non,VN7-592G-5634,Non,Oui,1920 x 1080 pixels,178°,8 Go - DDR4(2133 MHz),Non,Non,Non,Acer,2.4 kg,Non,1000 Go (5400 tr/min),Skylake 2015 (x86),Non,6h00,Non,Non,Non,802.11 b/g/n/ac,141 ppp,-,,Non,,-,4605 mAh,Oui,Non,Non,14 nm,Nvidia GeForce GTX 960M,-,Non,Intel HD Graphics 530350 - 950 MHz,Non,Non,"15.6"" (39,62 cm)",Oui,Oui,-,Oui,Non,Windows 10 Famille,Non,Non,6 Mo,390 x 262.8 x 22.9 mm,Non,Plastique,Oui,LCD - IPS,Microsoft Edge,Non,45 W
product_577291e20a086de7438b4572,http://www.comparez-malin.fr/informatique/pc-portable/toshiba-portege-a30-c-13d.html,,,2.0 MPx,,Non,Non,,Non,,4.0 (LE),Non,,,2 x 2.3 à 2.8 GHz,,,Oui,Noir,3 x USB 3.0 / Charging,Non,Non,,,Non,Oui,Oui,4 cel.,Haut-parleurs stéréoDTS,-, 100 / 1000 Mbps,Non,,McAfee LiveSafeMicrosoft Office 365 (1 mois)Toshiba Eco UtilityToshiba PC Health Monitor,"1 419,00€",Non,Non,,-,Non, SD / SDHC / SDXC / MMC,Intel Core i5-6200U,Non,Non,,Oui,,Non,28/06/2016,HDMI 1.4,DVD Windows 10 ProManuel d'utilisateur ToshibaChargeur secteur,Non,Non,A30-C-13D,Non,Oui,1366 x 768 pixels,-,8 Go - DDR3L(1600 MHz),Oui,Non,Non,Toshiba,1.5 kg,Non,256 Go (SSD),Skylake 2015 (x86),Non,13h00,Non,Non,Non,802.11 b/g/n/ac,118 ppp,-,,Non,,-,-,Oui,Oui,Non,14 nm,Non,-,Oui,Intel HD Graphics 520300 - 1000 MHz,Non,Non,"13.3"" (33,78 cm)",Non,Oui,-,Non,Non,Windows 7 Professionnel,Oui,Non,3 Mo,316 x 229 x 18 - 22.4 mm,Non,Magnésium,Oui,LCD - TN,Internet Explorer,Oui,15 W
product_577294b00a086de7438b4574,http://www.comparez-malin.fr/informatique/pc-portable/toshiba-portege-z30-c-12k.html,,,2.0 MPx,,Non,Non,,Non,,4.0 (LE),Non,,,2 x 2.3 à 2.8 GHz,,,Oui,Gris,3 x USB 3.0 / Charging,Non,Non,,,Non,Oui,Oui,4 cel.,Haut-parleurs stéréoDTS,52 W/h, 100 / 1000 Mbps,Non,,DTS Studio SoundMcAfee Internet SecurityToshiba Eco UtilityToshiba PC Health MonitorToshiba Device AccessToshiba Security AssistAdvanced Encryption (TPM)Computrace enabled BIOSSmartCard ReaderFingerprint Reader-Single Sign OnMicrosoft Office 2010 starterSkype,"1 599,00€",Non,Non,,-,Non, SD / SDHC / SDXC / MMC,Intel Core i5-6200U,Non,Non,,Oui,,Non,28/06/2016,HDMI 1.4,Licence Windows 10 ProManuel d'utilisateur ToshibaChargeur secteur,Non,Non,PT263E-02E004FR,Oui,Oui,1366 x 768 pixels,-,8 Go - DDR3L(1600 MHz),Oui,Non,Non,Toshiba,1.2 kg,Non,128 Go (SSD),Skylake 2015 (x86),Non,14h00,Oui,Non,Non,802.11 b/g/n/ac,118 ppp,-,,Non,,-,-,Oui,Oui,Non,14 nm,Non,-,Oui,Intel HD Graphics 520300 - 1000 MHz,Non,Non,"13.3"" (33,78 cm)",Non,Oui,-,Oui,Oui,Windows 7 Professionnel,Non,Non,3 Mo,316 x 227 x 13.9 - 17.9 mm,Oui,AluminiumMagnésium,Oui,LCD - TN,Internet Explorer,Oui,15 W
product_577295540a086dea438b456f,http://www.comparez-malin.fr/informatique/pc-portable/toshiba-portege-z30-c-12z.html,,,2.0 MPx,,Non,Non,,Non,,4.0 (LE),Non,,,2 x 2.5 à 3.1 GHz,,,Oui,Gris,3 x USB 3.0 / Charging,Non,Non,,,Non,Oui,Oui,4 cel.,Haut-parleurs stéréoDTS,52 W/h, 100 / 1000 Mbps,Non,,DTS Studio SoundMcAfee Internet SecurityToshiba Eco UtilityToshiba PC Health MonitorToshiba Device AccessToshiba Security AssistAdvanced Encryption (TPM)Computrace enabled BIOSSmartCard ReaderFingerprint Reader-Single Sign OnMicrosoft Office 2010 starterSkype,"2 099,00€",Non,Non,,-,Non, SD / SDHC / SDXC / MMC,Intel Core i7-6500U,Non,Non,,Oui,,Non,28/06/2016,HDMI 1.4,Licence Windows 10 ProManuel d'utilisateur ToshibaChargeur secteur,Non,Non,PT263E-02P004FR,Oui,Oui,1920 x 1080 pixels,-,8 Go - DDR3L(1600 MHz),Oui,Non,Non,Toshiba,1.2 kg,Non,256 Go (SSD),Skylake 2015 (x86),Non,11h00,Oui,Non,Non,802.11 b/g/n/ac,166 ppp,-,,Non,,-,-,Oui,Oui,Non,14 nm,Non,-,Oui,Intel HD Graphics 520300 - 1050 MHz,Non,Non,"13.3"" (33,78 cm)",Non,Oui,-,Oui,Oui,Windows 7 Professionnel,Non,Non,4 Mo,316 x 227 x 13.9 - 17.9 mm,Oui,AluminiumMagnésium,Oui,LCD - TN,Internet Explorer,Oui,15 W
product_577296f30a086dea438b4570,http://www.comparez-malin.fr/informatique/pc-portable/toshiba-portege-z30-c-127.html,,,2.0 MPx,,Non,Non,,Non,,4.0 (LE),Non,,,2 x 2.3 à 2.8 GHz,,,Oui,Gris,3 x USB 3.0 / Charging,Non,Non,,,Non,Oui,Oui,4 cel.,Haut-parleurs stéréoDTS,52 W/h, 100 / 1000 Mbps,Non,,DTS Studio SoundMcAfee Internet SecurityToshiba Eco UtilityToshiba PC Health MonitorToshiba Device AccessToshiba Security AssistAdvanced Encryption (TPM)Computrace enabled BIOSSmartCard ReaderFingerprint Reader-Single Sign OnMicrosoft Office 2010 starterSkype,"2 119,00€",Non,Non,,-,10 points, SD / SDHC / SDXC / MMC,Intel Core i5-6200U,Non,Non,,Oui,,Non,28/06/2016,HDMI 1.4,Licence Windows 10 ProManuel d'utilisateur ToshibaChargeur secteur,Non,Non,PT263E-0JS004FR,Oui,Oui,1920 x 1080 pixels,-,8 Go - DDR3L(1600 MHz),Oui,Non,Non,Toshiba,1.36 kg,Non,256 Go (SSD),Skylake 2015 (x86),Non,14h00,Oui,Non,Non,802.11 b/g/n/ac,166 ppp,-,,Non,,-,-,Oui,Oui,Non,14 nm,Non,-,Oui,Intel HD Graphics 520300 - 1000 MHz,Non,Non,"13.3"" (33,78 cm)",Non,Oui,-,Oui,Oui,Windows 7 Professionnel,Non,Non,3 Mo,316 x 227 x 15.9 - 19.9 mm,Oui,AluminiumMagnésium,Oui,LCD - TN,Internet Explorer,Oui,15 W
product_57729a060a086dea438b4572,http://www.comparez-malin.fr/informatique/pc-portable/asus-vivobook-flip-tp501ub-dn053t.html,,,0.3 MPx,,Non,Non,,Non,,4.0,Non,Windows Store,,2 x 2.3 à 2.8 GHz,,,Non,GrisMarron,1 x USB 2.02 x USB 3.01 x USB 3.1 Type-C (Gen 1),Non,Non,,,Non,Oui,Oui,2 cel.,Haut-parleurs stéréo (1.6W)SonicMaster Sound,38 W/h, 100 / 1000 Mbps,Non,,-,"899,00€",Non,Non,,200 cd/m²,10 points, SD / SDHC / SDXC,Intel Core i5-6200U,Oui,Non,,Oui,,Non,28/06/2016,HDMI 1.4,ManuelAdaptateur secteur,Non,Non,TP501UB-DN053T,Non,Oui,1920 x 1080 pixels,-,8 Go - DDR3L(1600 MHz),Non,Non,Non,Asus,2.2 kg,Non,1000 Go (5400 tr/min)128 Go (SSD),Skylake 2015 (x86),Non,6h00,Non,Non,Non,802.11 b/g/n/ac,141 ppp,-,,Non,,-,-,Non,Non,Non,14 nm,Nvidia GeForce 940M,-,Non,Intel HD Graphics 520300 - 1000 MHz,Non,Non,"15.6"" (39,62 cm)",Oui,Oui,-,Non,Non,Windows 10 Famille,Non,Non,3 Mo,377 x 253 x 22.5 mm,Non,Métal,Oui,LCD - TN,Microsoft Edge,Non,15 W
product_57729d080a086dea438b4573,http://www.comparez-malin.fr/informatique/pc-portable/asus-vivobook-flip-tp501ub-dn060t.html,,,0.3 MPx,,Non,Non,,Non,,4.0,Non,Windows Store,,2 x 2.5 à 3.1 GHz,,,Non,GrisMarron,1 x USB 2.02 x USB 3.01 x USB 3.1 Type-C (Gen 1),Non,Non,,,Non,Oui,Oui,2 cel.,Haut-parleurs stéréo (1.6W)SonicMaster Sound,38 W/h, 100 / 1000 Mbps,Non,,-,"1 099,00€",Non,Non,,200 cd/m²,10 points, SD / SDHC / SDXC,Intel Core i7-6500U,Oui,Non,,Oui,,Non,28/06/2016,HDMI 1.4,ManuelAdaptateur secteur,Non,Non,TP501UB-DN060T,Non,Oui,1920 x 1080 pixels,-,8 Go - DDR3L(1600 MHz),Non,Non,Non,Asus,2.2 kg,Non,1000 Go (5400 tr/min)128 Go (SSD),Skylake 2015 (x86),Non,6h00,Non,Non,Non,802.11 b/g/n/ac,141 ppp,-,,Non,,-,-,Non,Non,Non,14 nm,Nvidia GeForce 940M,-,Non,Intel HD Graphics 520300 - 1050 MHz,Non,Non,"15.6"" (39,62 cm)",Oui,Oui,-,Non,Non,Windows 10 Famille,Non,Non,4 Mo,377 x 253 x 22.5 mm,Non,Métal,Oui,LCD - TN,Microsoft Edge,Non,15 W
product_5772a6bf0a086dea438b4574,http://www.comparez-malin.fr/informatique/pc-portable/hp-pavilion-14-al009nf.html,,,1.3 MPxHP Wide Vision HD,,Non,Non,,Non,,4.0,Non,Windows Store,,2 x 2.3 à 2.8 GHz,,,Non,NoirGold,1 x USB 2.02 x USB 3.0,Non,Oui,,,Non,Oui,Oui,3 cel.,Haut-parleurs stéréoBang & Olufsen Play,41 W/h, 10 / 100 Mbps,Non,,HP LoungeHP CoolSenseHP 3D DriveGuardHP ePrintHP Recovery ManagerHP Support AssistantDropboxCyberLink PowerDirectorNetflixMcAfee LiveSafe (30 jours)Microsoft Office 365 (30 jours),"719,00€",Non,Non,,-,Non, SD / SDHC / SDXC,Intel Core i5-6200U,Non,Non,,Oui,,Non,11/08/2016,HDMI 1.4,ManuelAdaptateur secteur,Non,Non,Y0U96EA#ABF,Non,Oui,1366 x 768 pixels,-,4 Go - DDR4(2133 MHz),Oui,Non,Non,HP,1.58 kg,Non,1000 Go (5400 tr/min),Skylake 2015 (x86),Non,10h00,Non,Non,Non,802.11 b/g/n,112 ppp,-,,Non,,-,-,Non,Non,Non,14 nm,Nvidia GeForce 940M,-,Non,Intel HD Graphics 520300 - 1000 MHz,Non,Non,"14.0"" (35,56 cm)",Non,Oui,-,Non,Non,Windows 10 Famille,Non,Non,3 Mo,338.6 x 224.3 x 19.5 mm,Non,Plastique,Oui,LCD - TN,Microsoft Edge,Non,15 W
