,url,Poids,Puce TPM,Emplacement,Wifi,Marque,Bluetooth,Mémoire (RAM),Contraste,Webcam,Résistance à la poussière,Angle de vue,Compatible,Qualité vidéo,PPI,Gyroscope,3G,Connecteur pour dock,NFC,Navigateur,Trackpoint,Gravure,Miracast,Tactile,DisplayPort,VGA,Flash LED,Induction,DisplayPort Thunderbolt,Type de dalle,Processeur,Lecteur d'empreintes digitales,Lecteur de carte à puce (Smart Card),Anti-reflet,Fréquence,Dimensions,Luminosité,Gamme,PDT max.,Delta E,Airplay,Port série,Puce graphique dédiée,Capacité W/h,Prise casque,Système d'exploitation,Accéléromètre,Boutique d'apps,Cellules,Composition,Inclus,Autonomie,Firewire,4G / LTE,Cache,Lecteur de carte SD,Infrarouge,Anti-rayures,Magnétique,Capteur de proximité,Haut-parleurs,Ethernet,Interface constructeur,Capacité mAh,Temps de charge,Verrou Kensington,Flash Player,USB,HDMI,Autofocus,Wireless Display (Widi),Amovible,Lecteur DVD,Puce graphique intégrée,prix,Applications,Taille,Appareil photo,Couleur(s),Pavé numérique,64 bits,Résistance aux chutes,Optionnel,Disque dur,Résistance à l'eau,Résolution,Prix public,GPS,Date,Touchpad,Capteur de luminosité,Clavier rétroéclairé,Référence
product_577268730a086de7438b4567,http://www.comparez-malin.fr/informatique/pc-portable/asus-zenbook-flip-pro-ux360ca-c4004r.html,1.3 kg,Non,Non,802.11 b/g/n/ac,Asus,4.1,8 Go - LPDDR3(1866 MHz),-,1.3 MPx,Non,178°,Non,Non,166 ppp,Non,Non,Non,Non,Microsoft Edge,Non,14 nm,Non,10 points,Non,Non,Non,Non,Non,LCD - IPS,Intel Core m3-6Y30,Non,Non,Oui,2 x 0.9 à 2.2 GHz,323 x 220 x 13.9 mm,300 cd/m²,Skylake 2015 (x86),4 W,-,Non,Non,Non,54 W/h,Oui,Windows 10 Pro,Non,Windows Store,3 cel.,Aluminium,Adaptateur secteur Notice et garantie Pochette de transport Adaptateur USB vers RJ45,12h00,Non,Non,4 Mo,SD / SDHC / SDXC,Non,Non,Non,Non,Haut-parleurs stéréo (1.6W)SonicMaster Sound,Avec adaptateur 10 / 100 Mbps,Non,-,-,Non,Oui,2 x USB 3.01 x USB 3.1 Type-C (Gen 1),Micro HDMI 1.4,Non,Oui,Non,Non,Intel HD Graphics 515300 - 850 MHz,,Microsoft Office 2013 (Offre d'essai) McAfee Internet Security 2012 (Offre d'essai),"13.3"" (33,78 cm)",Non,Noir,Non,Oui,Non,-,256 Go (SSD),Non,1920 x 1080 pixels,"1 099,00€",Non,15/07/2016,Oui,Oui,Non,UX360CA-C4004R
product_577269d80a086d48438b4568,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p278-mg-59v1.html,3 kg,Non,Non,802.11 b/g/n/ac,Acer,4.0,8 Go - DDR3L(1600 MHz),-,1.3 MPx,Non,-,Non,Non,127 ppp,Non,Non,Non,Non,Internet Explorer,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i5-6200U,Non,Non,Oui,2 x 2.3 à 2.8 GHz,423 x 281.9 x 31.65 mm,-,Skylake 2015 (x86),15 W,-,Non,Non,Nvidia GeForce 920M,48 W/h,Oui,Windows 7 Professionnel,Non,,4 cel.,Plastique,Manuel Chargeur secteur Licence Windows 10 Pro,5h00,Non,Non,3 Mo,SD / SDHC,Non,Non,Non,Non,Haut-parleurs stéréo,100 / 1000 Mbps,Non,2500 mAh,-,Oui,Oui,2 x USB 2.02 x USB 3.0,HDMI 1.4,Non,Non,Oui,Oui,Intel HD Graphics 520300 - 1000 MHz,,Acer Explorer Acer Power Management Acer Update Acer Identity Card Acer Recovery Management Acer Cloud Acer Games Acer ScreenGrasp Acer Scrapboard McAfee Internet Security Suite Microsoft Office 2013 version d'évaluation Skype MyWinLocker,"17.3"" (43,94 cm)",Non,Noir,Oui,Oui,Non,-,1000 Go (5400 tr/min)128 Go (SSD),Non,1920 x 1080 pixels,"899,00€",Non,28/06/2016,Oui,Oui,Non,P278-MG-59V1
product_57726da80a086d48438b4569,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p278-mg-706r.html,3 kg,Non,Non,802.11 b/g/n/ac,Acer,4.0,8 Go - DDR3L(1600 MHz),-,1.3 MPx,Non,-,Non,Non,127 ppp,Non,Non,Non,Non,Internet Explorer,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i7-6500U,Non,Non,Oui,2 x 2.5 à 3.1 GHz,423 x 281.9 x 31.65 mm,-,Skylake 2015 (x86),15 W,-,Non,Non,Nvidia GeForce 940M,48 W/h,Oui,Windows 7 Professionnel,Non,,4 cel.,Plastique,Manuel Chargeur secteur Licence Windows 10 Pro,5h00,Non,Non,4 Mo,SD / SDHC,Non,Non,Non,Non,Haut-parleurs stéréo,100 / 1000 Mbps,Non,2500 mAh,-,Oui,Oui,2 x USB 2.02 x USB 3.0,HDMI 1.4,Non,Non,Oui,Oui,Intel HD Graphics 520300 - 1050 MHz,,Acer Explorer Acer Power Management Acer Update Acer Identity Card Acer Recovery Management Acer Cloud Acer Games Acer ScreenGrasp Acer Scrapboard McAfee Internet Security Suite Microsoft Office 2013 version d'évaluation Skype MyWinLocker,"17.3"" (43,94 cm)",Non,Noir,Oui,Oui,Non,-,1000 Go (5400 tr/min)256 Go (SSD),Non,1920 x 1080 pixels,"1 089,00€",Non,30/06/2016,Oui,Oui,Non,P278-MG-706R
product_57726f2c0a086d48438b456b,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p648-mg-77ec.html,1.7 kg,Oui,Non,802.11 b/g/n/ac,Acer,4.0,8 Go - DDR4(2133 MHz),-,1.3 MPxHD 720p,Non,178°,Non,Non,157 ppp,Non,Non,Non,Oui,Internet Explorer,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - IPS,Intel Core i7-6500U,Oui,Non,Oui,2 x 2.5 à 3.1 GHz,328.7 x 235.5 x 21.2 mm,220 cd/m²,Skylake 2015 (x86),15 W,-,Non,Non,Nvidia GeForce 940M,54 W/h,Oui,Windows 7 Professionnel,Non,,3 cel.,AluminiumMagnésium,Manuel Chargeur secteur Windows 10 Pro 64 bits (licence),8h00,Non,Non,4 Mo,SD / SDHC / SDXC,Non,Non,Non,Non,Haut-parleurs stéréo,100 / 1000 Mbps,Non,-,-,Oui,Oui,3 x USB 3.0 / Charging1 x USB 3.1 Type-C (Gen 2) / Thunderbolt,HDMI 1.4,Non,Non,Non,Non,Intel HD Graphics 520300 - 1050 MHz,"1 199,90 €",Acer Recovery Management Acer ProShield Manager Acer Office Manager (AOM) Acer Disk Anti-Shock Protection (DASP),"14.0"" (35,56 cm)",Non,Noir,Non,Oui,Non,Acer ProDock,256 Go (SSD),Non,1920 x 1080 pixels,"1 379,00€",Non,28/06/2016,Oui,Oui,Oui,P648-MG-77EC
product_577277570a086dea438b4567,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p648-m-57xt.html,1.7 kg,Oui,Non,802.11 b/g/n/ac,Acer,4.0,8 Go - DDR4(2133 MHz),-,1.3 MPxHD 720p,Non,178°,Non,Non,157 ppp,Non,Non,Non,Oui,Internet Explorer,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - IPS,Intel Core i5-6200U,Oui,Non,Oui,2 x 2.3 à 2.8 GHz,328.7 x 235.5 x 21.2 mm,220 cd/m²,Skylake 2015 (x86),15 W,-,Non,Non,Non,54 W/h,Oui,Windows 7 Professionnel,Non,,3 cel.,AluminiumMagnésium,Manuel Chargeur secteur Windows 10 Pro 64 bits (licence),8h00,Non,Non,3 Mo,SD / SDHC / SDXC,Non,Non,Non,Non,Haut-parleurs stéréo,100 / 1000 Mbps,Non,-,-,Oui,Oui,3 x USB 3.0 / Charging1 x USB 3.1 Type-C (Gen 2) / Thunderbolt,HDMI 1.4,Non,Oui,Non,Non,Intel HD Graphics 520300 - 1000 MHz,"1 055,66 €",Acer Recovery Management Acer ProShield Manager Acer Office Manager (AOM) Acer Disk Anti-Shock Protection (DASP),"14.0"" (35,56 cm)",Non,Noir,Non,Oui,Non,Acer ProDock,256 Go (SSD),Non,1920 x 1080 pixels,"1 099,00€",Non,28/06/2016,Oui,Oui,Oui,P648-M-57XT
product_5772797e0a086de7438b4569,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p257-m-582x.html,2.4 kg,Oui,Non,802.11 b/g/n/ac,Acer,4.0,4 Go - DDR3L(1600 MHz),-,1.3 MPx,Non,-,Non,Non,100 ppp,Non,Non,Non,Non,Internet Explorer,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i5-5200U,Non,Non,Oui,2 x 2.2 à 2.7 GHz,381.6 x 256 x 24.9 - 29.2 mm,220 cd/m²,Broadwell 2015 (x86),15 W,-,Non,Non,Non,37 W/h,Oui,Windows 7 Professionnel,Non,,4 cel.,Plastique,Manuel Chargeur secteur Licence Windows 10 Pro,5h00,Non,Non,3 Mo,SD / SDHC,Non,Non,Non,Non,Haut-parleurs stéréo,100 / 1000 Mbps,Non,2500 mAh,-,Oui,Oui,1 x USB 2.02 x USB 3.0,HDMI 1.4,Non,Non,Non,Oui,Intel HD Graphics 5500300 - 900 MHz,,Acer Recovery Management McAfee Internet Security,"15.6"" (39,62 cm)",Non,Noir,Oui,Oui,Non,-,500 Go (5400 tr/min) + 8 Go (cache SSD),Non,1366 x 768 pixels,"599,00€",Non,28/06/2016,Oui,Oui,Non,NX.VBKEF.002
product_57727bc20a086d48438b456c,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p257-mg-571a.html,2.4 kg,Oui,Non,802.11 b/g/n/ac,Acer,4.0,6 Go - DDR3L(1600 MHz),-,1.3 MPx,Non,-,Non,Non,100 ppp,Non,Non,Non,Non,Internet Explorer,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i5-5200U,Non,Non,Oui,2 x 2.2 à 2.7 GHz,381.6 x 256 x 24.9 - 29.2 mm,220 cd/m²,Broadwell 2015 (x86),15 W,-,Non,Non,Nvidia GeForce 920M,37 W/h,Oui,Windows 7 Professionnel,Non,,4 cel.,Plastique,Manuel Chargeur secteur Licence Windows 10 Pro,5h00,Non,Non,3 Mo,SD / SDHC,Non,Non,Non,Non,Haut-parleurs stéréo,100 / 1000 Mbps,Non,2500 mAh,-,Oui,Oui,1 x USB 2.02 x USB 3.0,HDMI 1.4,Non,Non,Non,Oui,Intel HD Graphics 5500300 - 900 MHz,,Acer Recovery Management McAfee Internet Security,"15.6"" (39,62 cm)",Non,Noir,Oui,Oui,Non,-,500 Go (5400 tr/min) + 8 Go (cache SSD),Non,1366 x 768 pixels,"639,00€",Non,28/06/2016,Oui,Oui,Non,NX.VBUEF.003
product_57727c510a086dea438b4568,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p257-mg-72v0.html,2.4 kg,Oui,Non,802.11 b/g/n/ac,Acer,4.0,6 Go - DDR3L(1600 MHz),-,1.3 MPx,Non,-,Non,Non,100 ppp,Non,Non,Non,Non,Internet Explorer,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i7-5500U,Non,Non,Oui,2 x 2.4 à 3 GHz,381.6 x 256 x 24.9 - 29.2 mm,220 cd/m²,Broadwell 2015 (x86),15 W,-,Non,Non,Nvidia GeForce 920M,37 W/h,Oui,Windows 7 Professionnel,Non,,4 cel.,Plastique,Manuel Chargeur secteur Licence Windows 10 Pro,5h00,Non,Non,4 Mo,SD / SDHC,Non,Non,Non,Non,Haut-parleurs stéréo,100 / 1000 Mbps,Non,2500 mAh,-,Oui,Oui,1 x USB 2.02 x USB 3.0,HDMI 1.4,Non,Non,Non,Oui,Intel HD Graphics 5500300 - 950 MHz,"859,90 €",Acer Recovery Management McAfee Internet Security,"15.6"" (39,62 cm)",Non,Noir,Oui,Oui,Non,-,500 Go (5400 tr/min) + 8 Go (cache SSD),Non,1366 x 768 pixels,"849,00€",Non,28/06/2016,Oui,Oui,Non,NX.VBUEF.002
product_57727cea0a086dea438b4569,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p257-mg-75s9.html,2.4 kg,Oui,Non,802.11 b/g/n/ac,Acer,4.0,6 Go - DDR3L(1600 MHz),-,1.3 MPx,Non,-,Non,Non,100 ppp,Non,Non,Non,Non,Internet Explorer,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i7-5500U,Non,Non,Oui,2 x 2.4 à 3 GHz,381.6 x 256 x 24.9 - 29.2 mm,220 cd/m²,Broadwell 2015 (x86),15 W,-,Non,Non,Nvidia GeForce 920M,37 W/h,Oui,Windows 7 Professionnel,Non,,4 cel.,Plastique,Manuel Chargeur secteur Licence Windows 10 Pro,5h00,Non,Non,4 Mo,SD / SDHC,Non,Non,Non,Non,Haut-parleurs stéréo,100 / 1000 Mbps,Non,2500 mAh,-,Oui,Oui,1 x USB 2.02 x USB 3.0,HDMI 1.4,Non,Non,Non,Oui,Intel HD Graphics 5500300 - 950 MHz,,Acer Recovery Management McAfee Internet Security,"15.6"" (39,62 cm)",Non,Noir,Oui,Oui,Non,-,500 Go (5400 tr/min) + 8 Go (cache SSD),Non,1366 x 768 pixels,"739,00€",Non,28/06/2016,Oui,Oui,Non,NX.VBUEF.004
product_57727f2c0a086d48438b456e,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p277-mg-51uq.html,3 kg,Non,Non,802.11 b/g/n/ac,Acer,4.0,4 Go - DDR3L(1600 MHz),-,1.3 MPx,Non,-,Non,Non,106 ppp,Non,Non,Non,Non,Internet Explorer,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i5-5200U,Non,Non,Oui,2 x 2.2 à 2.7 GHz,423 x 281.9 x 27.5 - 31.65 mm,-,Broadwell 2015 (x86),15 W,-,Non,Non,Nvidia GeForce 920M,37 W/h,Oui,Windows 7 Professionnel,Non,,4 cel.,Plastique,Manuel Chargeur secteur Licence Windows 10 Pro,5h00,Non,Non,3 Mo,SD / SDHC,Non,Non,Non,Non,Haut-parleurs stéréo,100 / 1000 Mbps,Non,2500 mAh,-,Oui,Oui,2 x USB 2.02 x USB 3.0,HDMI 1.4,Non,Non,Oui,Oui,Intel HD Graphics 5500300 - 900 MHz,"700,36 €",Acer Power Management Acer Recovery Management McAfee Internet Security Suite,"17.3"" (43,94 cm)",Non,Noir,Oui,Oui,Non,-,500 Go (5400 tr/min),Non,1600 x 900 pixels,"729,00€",Non,28/06/2016,Oui,Oui,Non,P277-MG-51UQ
product_577280ab0a086de7438b456a,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p277-m-32tb.html,3 kg,Non,Non,802.11 b/g/n/ac,Acer,4.0,4 Go - DDR3L(1600 MHz),-,1.3 MPx,Non,-,Non,Non,106 ppp,Non,Non,Non,Non,Internet Explorer,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i3-5005U,Non,Non,Oui,2 x 2 GHz,423 x 281.9 x 27.5 - 31.65 mm,-,Broadwell 2015 (x86),15 W,-,Non,Non,Nvidia GeForce 920M,37 W/h,Oui,Windows 7 Professionnel,Non,,4 cel.,Plastique,Manuel Chargeur secteur Licence Windows 10 Pro,5h00,Non,Non,3 Mo,SD / SDHC,Non,Non,Non,Non,Haut-parleurs stéréo,100 / 1000 Mbps,Non,2500 mAh,-,Oui,Oui,2 x USB 2.02 x USB 3.0,HDMI 1.4,Non,Non,Oui,Oui,Intel HD Graphics 5500300 - 900 MHz,,Acer Power Management Acer Recovery Management McAfee Internet Security Suite,"17.3"" (43,94 cm)",Non,Noir,Oui,Oui,Non,-,500 Go (5400 tr/min),Non,1600 x 900 pixels,"589,00€",Non,28/06/2016,Oui,Oui,Non,P277-M-32TB
product_577281300a086dea438b456a,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p277-mg-72lx.html,3 kg,Non,Non,802.11 b/g/n/ac,Acer,4.0,8 Go - DDR3L(1600 MHz),-,1.3 MPx,Non,-,Non,Non,127 ppp,Non,Non,Non,Non,Internet Explorer,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i7-5500U,Non,Non,Oui,2 x 2.4 à 3 GHz,423 x 281.9 x 27.5 - 31.65 mm,300 cd/m²,Broadwell 2015 (x86),15 W,-,Non,Non,Nvidia GeForce 940M,37 W/h,Oui,Windows 8 Pro,Non,Windows Store,4 cel.,Plastique,Manuel Chargeur secteur,5h00,Non,Non,4 Mo,SD / SDHC,Non,Non,Non,Non,Haut-parleurs stéréo,100 / 1000 Mbps,Non,2520 mAh,-,Oui,Oui,2 x USB 2.02 x USB 3.0,HDMI 1.4,Non,Non,Oui,Oui,Intel HD Graphics 5500300 - 950 MHz,,Acer Power Management Acer Recovery Management McAfee Internet Security Suite,"17.3"" (43,94 cm)",Non,Noir,Oui,Oui,Non,-,1000 Go (5400 tr/min)256 Go (SSD),Non,1920 x 1080 pixels,"1 099,00€",Non,28/06/2016,Oui,Oui,Non,NX.VB3EF.002
product_577281f20a086d48438b456f,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p277-mg-59uj.html,3 kg,Non,Non,802.11 b/g/n/ac,Acer,4.0,8 Go - DDR3L(1600 MHz),-,1.3 MPx,Non,-,Non,Non,127 ppp,Non,Non,Non,Non,Internet Explorer,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i5-5200U,Non,Non,Oui,2 x 2.2 à 2.7 GHz,423 x 281.9 x 27.5 - 31.65 mm,300 cd/m²,Broadwell 2015 (x86),15 W,-,Non,Non,Nvidia GeForce 940M,37 W/h,Oui,Windows 7 Professionnel,Non,,4 cel.,Plastique,Manuel Chargeur secteur Licence Windows 10 Pro,5h00,Non,Non,3 Mo,SD / SDHC,Non,Non,Non,Non,Haut-parleurs stéréo,100 / 1000 Mbps,Non,2520 mAh,-,Oui,Oui,2 x USB 2.02 x USB 3.0,HDMI 1.4,Non,Non,Oui,Oui,Intel HD Graphics 5500300 - 900 MHz,,Acer Power Management Acer Recovery Management McAfee Internet Security Suite,"17.3"" (43,94 cm)",Non,Noir,Oui,Oui,Non,-,1000 Go (5400 tr/min)128 Go (SSD),Non,1920 x 1080 pixels,"899,00€",Non,28/06/2016,Oui,Oui,Non,NX.VB3EF.003
product_577282ac0a086de7438b456b,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p277-mg-7007.html,3 kg,Non,Non,802.11 b/g/n/ac,Acer,4.0,8 Go - DDR3L(1600 MHz),-,1.3 MPx,Non,-,Non,Non,127 ppp,Non,Non,Non,Non,Internet Explorer,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i7-5500U,Non,Non,Oui,2 x 2.4 à 3 GHz,423 x 281.9 x 27.5 - 31.65 mm,300 cd/m²,Broadwell 2015 (x86),15 W,-,Non,Non,Nvidia GeForce 940M,37 W/h,Oui,Windows 7 Professionnel,Non,,4 cel.,Plastique,Manuel Chargeur secteur Licence Windows 10 Pro,5h00,Non,Non,4 Mo,SD / SDHC,Non,Non,Non,Non,Haut-parleurs stéréo,100 / 1000 Mbps,Non,2520 mAh,-,Oui,Oui,2 x USB 2.02 x USB 3.0,HDMI 1.4,Non,Non,Oui,Oui,Intel HD Graphics 5500300 - 950 MHz,,Acer Power Management Acer Recovery Management McAfee Internet Security Suite,"17.3"" (43,94 cm)",Non,Noir,Oui,Oui,Non,-,1000 Go (5400 tr/min)256 Go (SSD),Non,1920 x 1080 pixels,"1 099,00€",Non,28/06/2016,Oui,Oui,Non,NX.VB3EF.004
product_577283720a086dea438b456c,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p236-m-31sw.html,1.5 kg,Non,Non,802.11 b/g/n,Acer,4.0,4 Go - DDR3L(1600 MHz),-,1.3 MPx,Non,-,Non,Non,118 ppp,Non,Non,Non,Non,Internet Explorer,Non,14 nm,Non,Non,Non,Non,Non,Non,Non,LCD - TN,Intel Core i3-5005U,Non,Non,Oui,2 x 2 GHz,327 x 228 x 19.65 mm,200 cd/m²,Broadwell 2015 (x86),15 W,-,Non,Non,Non,-,Oui,Windows 7 Professionnel,Non,,4 cel.,Plastique,Manuel Chargeur secteur Licence Windows 10 Pro,5h00,Non,Non,3 Mo,SD / SDHC,Non,Non,Non,Non,Haut-parleurs stéréo,100 / 1000 Mbps,Non,3315 mAh,-,Oui,Oui,1 x USB 2.01 x USB 3.0,HDMI 1.4,Non,Non,Non,Non,Intel HD Graphics 5500300 - 900 MHz,,Acer Recovery Management McAfee Internet Security,"13.3"" (33,78 cm)",Non,Noir,Non,Oui,Non,-,500 Go (5400 tr/min) + 8 Go (cache SSD),Non,1366 x 768 pixels,"579,00€",Non,28/06/2016,Oui,Oui,Non,NX.VAPEF.015
product_577286670a086dea438b456d,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p236-m-56bb.html,1.5 kg,Non,Non,802.11 b/g/n,Acer,4.0,8 Go - DDR3L(1600 MHz),-,1.3 MPx,Non,-,Non,Non,118 ppp,Non,Non,Non,Non,Internet Explorer,Non,14 nm,Non,Non,Non,Non,Non,Non,Non,LCD - TN,Intel Core i5-5200U,Non,Non,Oui,2 x 2.2 à 2.7 GHz,327 x 228 x 19.65 mm,200 cd/m²,Broadwell 2015 (x86),15 W,-,Non,Non,Non,-,Oui,Windows 7 Professionnel,Non,,4 cel.,Plastique,Manuel Chargeur secteur Licence Windows 10 Pro,5h00,Non,Non,3 Mo,SD / SDHC,Non,Non,Non,Non,Haut-parleurs stéréo,100 / 1000 Mbps,Non,3315 mAh,-,Oui,Oui,1 x USB 2.01 x USB 3.0,HDMI 1.4,Non,Non,Non,Non,Intel HD Graphics 5500300 - 900 MHz,,Acer Recovery Management McAfee Internet Security,"13.3"" (33,78 cm)",Non,Noir,Non,Oui,Non,-,256 Go (SSD),Non,1366 x 768 pixels,"799,00€",Non,28/06/2016,Oui,Oui,Non,NX.VAPEF.019
product_577287520a086de7438b456d,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p645-s-59tx.html,1.6 kg,Oui,Non,802.11 b/g/n/ac,Acer,4.0,8 Go - DDR4(2133 MHz),-,1.3 MPxAcer Crystal Eye HD,Non,-,Non,Non,112 ppp,Non,Non,Non,Non,Internet Explorer,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i5-5200U,Oui,Non,Oui,2 x 2.2 à 2.7 GHz,328.7 x 235.5 x 20.8 mm,200 cd/m²,Broadwell 2015 (x86),15 W,-,Non,Non,Nvidia GeForce 940M,54 W/h,Oui,Windows 7 Professionnel,Non,,3 cel.,AluminiumMagnésium,Manuel Chargeur secteur Licence Windows 10 Pro,8h00,Non,Non,3 Mo,SD / SDHC,Non,Non,Non,Non,Haut-parleurs stéréo,100 / 1000 Mbps,Non,-,-,Oui,Oui,3 x USB 3.0 / Charging,HDMI 1.4,Non,Non,Non,Oui,Intel HD Graphics 5500300 - 900 MHz,"999,95 €",Acer Recovery Management Acer ProShield Manager Acer Office Manager (AOM) Acer Disk Anti-Shock Protection (DASP) Acer PureZone,"14.0"" (35,56 cm)",Non,Noir,Non,Oui,Non,Acer ProDock,500 Go (5400 tr/min) + 8 Go (cache SSD),Non,1366 x 768 pixels,"999,00€",Non,28/06/2016,Oui,Oui,Oui,NX.VATEF.011
product_57728acd0a086de7438b456e,http://www.comparez-malin.fr/informatique/pc-portable/acer-aspire-e5-573g-58dg.html,2.4 kg,Non,Non,802.11 b/g/n/ac,Acer,4.0  (HS),8 Go - DDR3L(1600 MHz),381:1,1.3 MPxCrystal Eye HD,Non,-,Non,Non,100 ppp,Non,Non,Non,Non,Microsoft Edge,Non,22 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i5-4210U,Non,Non,Oui,2 x 1.7 à 2.7 GHz,382 x 256 x 25 - 30 mm,200 cd/m²,Haswell 2014 (x86),15 W,-,Non,Non,Nvidia GeForce 920M,37 W/h,Oui,Windows 10 Famille,Non,Windows Store,4 cel.,Plastique,Manuel Chargeur secteur,5h00,Non,Non,3 Mo,SD / SDHC / SDXC / MMC,Non,Non,Non,Non,Haut-parleurs stéréoDolby Home Theater v4,100 / 1000 Mbps,Non,2520 mAh,-,Oui,Oui,1 x USB 2.02 x USB 3.0 / Charging,HDMI 1.4,Non,Non,Non,Oui,Intel HD Graphics 4400200 - 1000 MHz,,Acer Explorer Acer Power Management Acer Update Acer Identity Card Acer Recovery Management Acer Cloud Acer Games Acer ScreenGrasp Acer Scrapboard McAfee Internet Security Suite Microsoft Office 2013 version d'évaluation Skype MyWinLocker,"15.6"" (39,62 cm)",Non,Blanc,Oui,Oui,Non,-,1000 Go (5400 tr/min),Non,1366 x 768 pixels,"599,00€",Non,28/06/2016,Oui,Oui,Non,NX.MW4EF.023
product_57728b520a086de7438b456f,http://www.comparez-malin.fr/informatique/pc-portable/acer-predator-15-g9-591-75jd.html,3.5 kg,Non,Non,802.11 b/g/n/ac,Acer,4.1,8 Go - DDR4(2133 MHz),-,1.3 MPx,Non,178°,Non,Non,141 ppp,Non,Non,Non,Non,Microsoft Edge,Non,14 nm,Non,Non,Oui,Non,Non,Non,Non,LCD - IPS,Intel Core i7-6700HQ,Non,Non,Oui,4 x 2.6 à 3.5 GHz,391 x 299.5 x 38.5 mm,360 cd/m²,Skylake 2015 (x86),45 W,-,Non,Non,Nvidia GeForce GTX 970M,88 W/h,Oui,Windows 10 Famille,Non,Windows Store,8 cel.,Plastique,Manuel Chargeur secteur,5h30,Non,Non,6 Mo,SD / SDHC,Non,Non,Non,Non,Haut-parleurs stéréo (12W)Dolby Audio Premium,100 / 1000 Mbps,Non,6000 mAh,-,Oui,Oui,4 x USB 3.0 / Charging1 x USB 3.1 Type-C (Gen 2) / Thunderbolt,HDMI 1.4,Non,Non,Non,Oui,Intel HD Graphics 530350 - 1050 MHz,,Acer Cloud Acer Predator Dust Defender Acer Predator FrostCore Acer CoolBoost Acer Backup Manager Acer ePower Management Acer Recovery Management Microsoft Office 2013 McAfee Internet Security Suite Trial,"15.6"" (39,62 cm)",Non,Noir,Oui,Oui,Non,-,128 Go (SSD),Non,1920 x 1080 pixels,"1 519,00€",Non,28/06/2016,Oui,Oui,Oui,NX.Q07EF.012
product_57728e910a086dea438b456e,http://www.comparez-malin.fr/informatique/pc-portable/acer-travelmate-p257-m-33xg.html,2.4 kg,Oui,Non,802.11 b/g/n/ac,Acer,4.0  (LE),4 Go - DDR3L(1600 MHz),-,1.3 MPx,Non,-,Non,Non,100 ppp,Non,Non,Non,Non,Internet Explorer,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i3-5005U,Non,Non,Oui,2 x 2 GHz,381.6 x 256 x 24.9 - 29.2 mm,220 cd/m²,Broadwell 2015 (x86),15 W,-,Non,Non,Non,37 W/h,Oui,Windows 7 Professionnel,Non,,4 cel.,Plastique,Manuel Chargeur secteur Licence Windows 10 Pro,5h00,Non,Non,3 Mo,SD / SDHC,Non,Non,Non,Non,Haut-parleurs stéréo,100 / 1000 Mbps,Non,2500 mAh,-,Oui,Oui,1 x USB 2.02 x USB 3.0,HDMI 1.4,Non,Non,Non,Oui,Intel HD Graphics 5500300 - 900 MHz,"495,86 €",Acer Recovery Management McAfee Internet Security,"15.6"" (39,62 cm)",Non,Noir,Oui,Oui,Non,-,500 Go (5400 tr/min) + 8 Go (cache SSD),Non,1366 x 768 pixels,"589,00€",Non,28/06/2016,Oui,Oui,Non,P257-M-33XG
